stationcode,name,latitude,longitude,nom_arrondissement_communes,id,record_timestamp,ebike,mechanical,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,is_returning
41301,Bois de Vincennes - Gare,48.8360222429,2.4708339951,Nogent-sur-Marne,20954,2024-07-22T04:51:01.555+02:00,15,27,2024-07-22T03:52:56+02:00,42,6,50,OUI,OUI,OUI
17041,Guersant - Gouvion-Saint-Cyr,48.8828777518,2.2876673708,Paris,8,2024-07-22T04:19:01.377+02:00,1,20,2024-07-22T03:50:08+02:00,21,14,36,OUI,OUI,OUI
17041,Guersant - Gouvion-Saint-Cyr,48.8828777518,2.2876673708,Paris,1506,2024-07-22T04:22:00.326+02:00,1,20,2024-07-22T03:50:08+02:00,21,14,36,OUI,OUI,OUI
17041,Guersant - Gouvion-Saint-Cyr,48.8828777518,2.2876673708,Paris,3000,2024-07-22T04:21:00.518+02:00,1,20,2024-07-22T03:50:08+02:00,21,14,36,OUI,OUI,OUI
17041,Guersant - Gouvion-Saint-Cyr,48.8828777518,2.2876673708,Paris,4496,2024-07-22T04:25:00.791+02:00,1,20,2024-07-22T03:50:08+02:00,21,14,36,OUI,OUI,OUI
17041,Guersant - Gouvion-Saint-Cyr,48.8828777518,2.2876673708,Paris,5992,2024-07-22T04:27:00.312+02:00,1,20,2024-07-22T03:50:08+02:00,21,14,36,OUI,OUI,OUI
17041,Guersant - Gouvion-Saint-Cyr,48.8828777518,2.2876673708,Paris,7489,2024-07-22T04:29:00.488+02:00,1,20,2024-07-22T03:50:08+02:00,21,14,36,OUI,OUI,OUI
17041,Guersant - Gouvion-Saint-Cyr,48.8828777518,2.2876673708,Paris,8987,2024-07-22T04:31:00.625+02:00,1,20,2024-07-22T03:50:08+02:00,21,14,36,OUI,OUI,OUI
17041,Guersant - Gouvion-Saint-Cyr,48.8828777518,2.2876673708,Paris,10482,2024-07-22T04:35:00.522+02:00,1,19,2024-07-22T03:50:08+02:00,20,15,36,OUI,OUI,OUI
17041,Guersant - Gouvion-Saint-Cyr,48.8828777518,2.2876673708,Paris,11978,2024-07-22T04:37:01.327+02:00,1,19,2024-07-22T03:50:08+02:00,20,15,36,OUI,OUI,OUI
